id,userName,userAccount,userPassword,userPhone,avatar,userProfile,userRole,status,createTime,updateTime,isDelete
1,张三,zhangsan,123456,13800000001,https://example.com/avatar1.jpg,喜欢探店和火锅，美食爱好者,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
2,李四,lisi,123456,13800000002,https://example.com/avatar2.jpg,奶茶爱好者，甜品控,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
3,王店长,manager01,123456,13800000003,https://example.com/avatar3.jpg,负责店铺运营，10年餐饮经验,manager,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
4,赵店长,manager02,123456,13800000004,https://example.com/avatar4.jpg,擅长活动策划和营销,manager,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
5,管理员,admin,123456,13800000005,https://example.com/avatar5.jpg,系统管理员,admin,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
6,王小明,wangxiaoming,123456,13800000006,https://example.com/avatar6.jpg,大学生，喜欢尝试新店,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
7,陈小红,chenxiaohong,123456,13800000007,https://example.com/avatar7.jpg,美食博主，经常分享探店经历,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
8,刘伟,liuwei,123456,13800000008,https://example.com/avatar8.jpg,上班族，喜欢火锅和烧烤,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
9,赵丽,zhaoli,123456,13800000009,https://example.com/avatar9.jpg,下午茶爱好者，喜欢咖啡甜品,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
10,孙鹏,sunpeng,123456,13800000010,https://example.com/avatar10.jpg,健身达人，喜欢健康轻食,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
11,周敏,zhoumin,123456,13800000011,https://example.com/avatar11.jpg,宝妈，喜欢带孩子吃美食,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
12,吴刚,wugang,123456,13800000012,https://example.com/avatar12.jpg,夜宵爱好者，烧烤达人,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
13,郑洁,zhengjie,123456,13800000013,https://example.com/avatar13.jpg,甜品控，喜欢拍照打卡,user,0,2026-03-25 12:00:00,2026-03-25 12:00:00,0
